------------------------------------------------------------
Client connecting to 192.168.0.105, UDP port 5001
Sending 1000 byte datagrams, IPG target: 2.48 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 56286 connected with 192.168.0.105 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 78.0000-79.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 79.0000-80.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 80.0000-81.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 81.0000-82.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 82.0000-83.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 83.0000-84.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 84.0000-85.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 85.0000-86.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 86.0000-87.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 87.0000-88.0000 sec   380 MBytes  3.19 Gbits/sec
[  1] 88.0000-89.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 89.0000-90.0000 sec   389 MBytes  3.26 Gbits/sec
[  1] 90.0000-91.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 91.0000-92.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 92.0000-93.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 93.0000-94.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 94.0000-95.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 95.0000-96.0000 sec   383 MBytes  3.22 Gbits/sec
[  1] 96.0000-97.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 97.0000-98.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 98.0000-99.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 99.0000-100.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 100.0000-101.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 101.0000-102.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 102.0000-103.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 103.0000-104.0000 sec   381 MBytes  3.19 Gbits/sec
[  1] 104.0000-105.0000 sec   378 MBytes  3.17 Gbits/sec
[  1] 105.0000-106.0000 sec   388 MBytes  3.25 Gbits/sec
[  1] 106.0000-107.0000 sec   390 MBytes  3.27 Gbits/sec
[  1] 107.0000-108.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 108.0000-109.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 109.0000-110.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 110.0000-111.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 111.0000-112.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 112.0000-113.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 113.0000-114.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 114.0000-115.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 115.0000-116.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 116.0000-117.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 117.0000-118.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 118.0000-119.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 119.0000-120.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 120.0000-121.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 121.0000-122.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 122.0000-123.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 123.0000-124.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 124.0000-125.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 125.0000-126.0000 sec   378 MBytes  3.17 Gbits/sec
[  1] 126.0000-127.0000 sec   390 MBytes  3.27 Gbits/sec
[  1] 127.0000-128.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 128.0000-129.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 129.0000-130.0000 sec   382 MBytes  3.20 Gbits/sec
[  1] 130.0000-131.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 131.0000-132.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 132.0000-133.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 133.0000-134.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 134.0000-135.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 135.0000-136.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 136.0000-137.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 137.0000-138.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 138.0000-139.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 139.0000-140.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 140.0000-141.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 141.0000-142.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 142.0000-143.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 143.0000-144.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 144.0000-145.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 145.0000-146.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 146.0000-147.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 147.0000-148.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 148.0000-149.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 149.0000-150.0000 sec   379 MBytes  3.18 Gbits/sec
[  1] 150.0000-151.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 151.0000-152.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 152.0000-153.0000 sec   386 MBytes  3.23 Gbits/sec
[  1] 153.0000-154.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 154.0000-155.0000 sec   387 MBytes  3.24 Gbits/sec
[  1] 155.0000-156.0000 sec   388 MBytes  3.25 Gbits/sec
[  1] 156.0000-157.0000 sec   358 MBytes  3.00 Gbits/sec
[  1] 157.0000-158.0000 sec   389 MBytes  3.26 Gbits/sec
[  1] 158.0000-159.0000 sec   357 MBytes  2.99 Gbits/sec
[  1] 159.0000-160.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 160.0000-161.0000 sec   390 MBytes  3.27 Gbits/sec
[  1] 161.0000-162.0000 sec   393 MBytes  3.30 Gbits/sec
[  1] 162.0000-163.0000 sec   395 MBytes  3.31 Gbits/sec
[  1] 163.0000-164.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 164.0000-165.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 165.0000-166.0000 sec   392 MBytes  3.29 Gbits/sec
[  1] 166.0000-167.0000 sec   391 MBytes  3.28 Gbits/sec
[  1] 167.0000-168.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 168.0000-169.0000 sec   391 MBytes  3.28 Gbits/sec
[  1] 169.0000-170.0000 sec   391 MBytes  3.28 Gbits/sec
[  1] 170.0000-171.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 171.0000-172.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 172.0000-173.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 173.0000-174.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 174.0000-175.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 175.0000-176.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 176.0000-177.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 177.0000-178.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 178.0000-179.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 179.0000-180.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 180.0000-181.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 181.0000-182.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 182.0000-183.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 183.0000-184.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 184.0000-185.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 185.0000-186.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 186.0000-187.0000 sec   387 MBytes  3.24 Gbits/sec
[  1] 187.0000-188.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 188.0000-189.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 189.0000-190.0000 sec   382 MBytes  3.21 Gbits/sec
[  1] 190.0000-191.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 191.0000-192.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 192.0000-193.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 193.0000-194.0000 sec   382 MBytes  3.20 Gbits/sec
[  1] 194.0000-195.0000 sec   386 MBytes  3.23 Gbits/sec
[  1] 195.0000-196.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 196.0000-197.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 197.0000-198.0000 sec   386 MBytes  3.24 Gbits/sec
[  1] 198.0000-199.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 199.0000-200.0000 sec   383 MBytes  3.22 Gbits/sec
[  1] 200.0000-201.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 201.0000-202.0000 sec   384 MBytes  3.22 Gbits/sec
